Day Of Week,Time,Travel Time (minutes)
Monday,08:45,28
Monday,08:45,28
Monday,09:00,28
Monday,09:00,28
Monday,09:00,28
Monday,09:15,28
Monday,09:15,28
Monday,09:15,28
Monday,09:30,28
Monday,09:30,28
Monday,09:30,28
Monday,09:45,28
Monday,09:45,28
Monday,09:45,28
Monday,10:00,28
Monday,10:00,28
Monday,10:00,28
Monday,10:15,28
Monday,10:15,27
Monday,10:15,27
Monday,10:30,27
Monday,10:30,27
Monday,10:30,28
Monday,10:45,28
Monday,10:45,28
Monday,10:45,28
Monday,11:00,28
Monday,11:00,28
Monday,11:00,28
Monday,11:15,28
Monday,11:15,28
Monday,11:15,28
Monday,11:30,29
Monday,11:30,28
Monday,11:30,29
Monday,11:45,29
Monday,11:45,29
Monday,11:45,29
Monday,12:00,29
Monday,12:00,29
Monday,12:00,29
Monday,12:15,29
Monday,12:15,29
Monday,12:15,29
Monday,12:30,29
Monday,12:30,29
Monday,12:30,29
Monday,12:45,29
Monday,12:45,29
Monday,12:45,29
Monday,13:00,29
Monday,13:00,29
Monday,13:00,29
Monday,13:15,29
Monday,13:15,29
Monday,13:15,29
Monday,13:30,29
Monday,13:30,29
