Day Of Week,Time,Travel Time (minutes)
Monday,13:45,29
Monday,13:45,29
Monday,13:45,29
Monday,14:00,29
Monday,14:00,29
Monday,14:00,29
Monday,14:15,29
Monday,14:15,29
Monday,14:15,29
Monday,14:30,30
Monday,14:30,30
Monday,14:30,31
Monday,14:45,32
Monday,14:45,31
Monday,14:45,31
Monday,15:00,31
Monday,15:00,31
Monday,15:00,30
Monday,15:15,31
Monday,15:15,32
Monday,15:15,31
Monday,15:30,31
Monday,15:30,30
Monday,15:30,31
Monday,15:45,31
Monday,15:45,30
Monday,15:45,31
Monday,16:00,30
Monday,16:00,30
Monday,16:00,31
Monday,16:15,32
Monday,16:15,32
Monday,16:15,32
Monday,16:30,31
Monday,16:30,33
Monday,16:30,30
Monday,16:45,29
Monday,16:45,29
Monday,16:45,30
Monday,17:00,31
Monday,17:00,29
Monday,17:00,27
Monday,17:15,27
Monday,17:15,27
Monday,17:15,27
Monday,17:30,27
Monday,17:30,27
Monday,17:30,27
Monday,17:45,27
Monday,17:45,27
Monday,17:45,27
Monday,18:00,27
Monday,18:00,27
Monday,18:00,26
Monday,18:15,27
Monday,18:15,27
Monday,18:15,27
Monday,18:30,27
Monday,18:30,27
Monday,18:30,27
Monday,18:45,27
Monday,18:45,26
Monday,18:45,26
Monday,19:00,27
Monday,19:00,27
Monday,19:00,27
Monday,19:15,26
Monday,19:15,27
Monday,19:15,27
Monday,19:30,27
Monday,19:30,26
Monday,19:30,27
Monday,19:45,27
Monday,19:45,26
Monday,19:45,26
Monday,20:00,27
Monday,20:00,27
Monday,20:00,26
Monday,20:15,26
Monday,20:15,26
Monday,20:15,26
Monday,20:30,26
Monday,20:30,26
Monday,20:30,27
Monday,20:45,27
Monday,20:45,27
Monday,20:45,26
Monday,21:00,26
Monday,21:00,27
Monday,21:00,27
Monday,21:15,26
Monday,21:15,27
Monday,21:15,27
Monday,21:30,26
Monday,21:30,27
Monday,21:30,27
Monday,21:45,27
Monday,21:45,27
Monday,21:45,26
Monday,22:00,26
Monday,22:00,26
Monday,22:00,27
Monday,22:15,27
Monday,22:15,28
Monday,22:15,27
Monday,22:30,27
Monday,22:30,27
Monday,22:30,27
Monday,22:45,27
Monday,22:45,27
Monday,22:45,28
Monday,23:00,27
Monday,23:00,28
Monday,23:00,28
Monday,23:15,28
Monday,23:15,28
Monday,23:15,29
Monday,23:30,28
Monday,23:30,28
Monday,23:30,28
Monday,23:45,28
Monday,23:45,28
Monday,23:45,28
Monday,00:00,28
Monday,00:00,29
Tuesday,00:00,28
Tuesday,00:15,28
Tuesday,00:15,28
Tuesday,00:15,28
Tuesday,00:30,27
Tuesday,00:30,28
Tuesday,00:30,28
Tuesday,00:45,28
Tuesday,00:45,28
Tuesday,00:45,27
Tuesday,01:00,27
Tuesday,01:00,27
Tuesday,01:00,27
Tuesday,01:15,27
Tuesday,01:15,27
Tuesday,01:15,28
Tuesday,01:30,28
Tuesday,01:30,28
Tuesday,01:30,28
Tuesday,01:45,27
Tuesday,01:45,27
Tuesday,01:45,27
Tuesday,02:00,27
Tuesday,02:00,27
Tuesday,02:00,27
Tuesday,02:15,27
Tuesday,02:15,26
Tuesday,02:15,26
Tuesday,02:30,26
Tuesday,02:30,26
Tuesday,02:30,27
Tuesday,02:45,27
Tuesday,02:45,27
Tuesday,02:45,27
Tuesday,03:00,28
Tuesday,03:00,28
Tuesday,03:00,28
Tuesday,03:15,28
Tuesday,03:15,28
Tuesday,03:15,28
Tuesday,03:30,28
Tuesday,03:30,28
Tuesday,03:30,29
Tuesday,03:45,29
Tuesday,03:45,30
Tuesday,03:45,31
Tuesday,04:00,32
Tuesday,04:00,36
Tuesday,04:00,35
Tuesday,04:15,35
Tuesday,04:15,36
Tuesday,04:15,38
Tuesday,04:30,38
Tuesday,04:30,39
Tuesday,04:30,39
Tuesday,04:45,40
Tuesday,04:45,42
Tuesday,04:45,41
Tuesday,05:00,42
Tuesday,05:00,41
Tuesday,05:00,44
Tuesday,05:15,43
Tuesday,05:15,44
Tuesday,05:15,46
Tuesday,05:30,43
Tuesday,05:30,42
Tuesday,05:30,40
Tuesday,05:45,39
Tuesday,05:45,44
Tuesday,05:45,42
Tuesday,06:00,41
Tuesday,06:00,42
Tuesday,06:00,41
Tuesday,06:15,41
Tuesday,06:15,41
Tuesday,06:15,38
Tuesday,06:30,39
Tuesday,06:30,35
Tuesday,06:30,33
Tuesday,06:45,34
Tuesday,06:45,33
Tuesday,06:45,32
Tuesday,07:00,32
Tuesday,07:00,31
Tuesday,07:00,30
Tuesday,07:15,30
Tuesday,07:15,29
Tuesday,07:15,29
Tuesday,07:30,29
Tuesday,07:30,29
Tuesday,07:30,28
Tuesday,07:45,28
Tuesday,07:45,28
Tuesday,07:45,28
Tuesday,08:00,28
Tuesday,08:00,28
Tuesday,08:00,28
Tuesday,08:15,28
Tuesday,08:15,28
Tuesday,08:15,28
Tuesday,08:30,28
Tuesday,08:30,28
Tuesday,08:30,28
Tuesday,08:45,28
Tuesday,08:45,28
Tuesday,08:45,28
Tuesday,09:00,28
Tuesday,09:00,28
Tuesday,09:00,28
Tuesday,09:15,28
Tuesday,09:15,28
Tuesday,09:15,28
Tuesday,09:30,28
Tuesday,09:30,27
Tuesday,09:30,28
Tuesday,09:45,28
Tuesday,09:45,28
Tuesday,09:45,27
Tuesday,10:00,27
Tuesday,10:00,27
Tuesday,10:00,27
Tuesday,10:15,27
Tuesday,10:15,27
Tuesday,10:15,28
Tuesday,10:30,28
Tuesday,10:30,28
Tuesday,10:30,28
Tuesday,10:45,28
Tuesday,10:45,28
Tuesday,10:45,28
Tuesday,11:00,28
Tuesday,11:00,28
Tuesday,11:00,28
Tuesday,11:15,28
Tuesday,11:15,28
Tuesday,11:15,28
Tuesday,11:30,28
Tuesday,11:30,28
Tuesday,11:30,28
Tuesday,11:45,28
Tuesday,11:45,28
Tuesday,11:45,28
Tuesday,12:00,28
Tuesday,12:00,28
Tuesday,12:00,28
Tuesday,12:15,28
Tuesday,12:15,28
Tuesday,12:15,28
Tuesday,12:30,28
Tuesday,12:30,28
Tuesday,12:30,28
Tuesday,12:45,28
Tuesday,12:45,28
Tuesday,12:45,28
Tuesday,13:00,28
Tuesday,13:00,28
Tuesday,13:00,28
Tuesday,13:15,28
Tuesday,13:15,28
Tuesday,13:15,28
Tuesday,13:30,28
Tuesday,13:30,28
Tuesday,13:30,28
Tuesday,13:45,28
Tuesday,13:45,29
Tuesday,13:45,29
Tuesday,14:00,28
Tuesday,14:00,28
Tuesday,14:00,28
Tuesday,14:15,28
Tuesday,14:15,29
Tuesday,14:15,29
Tuesday,14:30,30
Tuesday,14:30,30
Tuesday,14:30,32
Tuesday,14:45,32
Tuesday,14:45,32
Tuesday,14:45,33
Tuesday,15:00,33
Tuesday,15:00,33
Tuesday,15:00,31
Tuesday,15:15,31
Tuesday,15:15,31
Tuesday,15:15,31
Tuesday,15:30,31
Tuesday,15:30,30
Tuesday,15:30,29
Tuesday,15:45,29
Tuesday,15:45,28
Tuesday,15:45,28
Tuesday,16:00,28
Tuesday,16:00,28
Tuesday,16:00,28
Tuesday,16:15,27
Tuesday,16:15,27
Tuesday,16:15,27
Tuesday,16:30,27
Tuesday,16:30,27
Tuesday,16:30,27
Tuesday,16:45,27
Tuesday,16:45,27
Tuesday,16:45,27
Tuesday,17:00,27
Tuesday,17:00,27
Tuesday,17:00,27
Tuesday,17:15,27
Tuesday,17:15,27
Tuesday,17:15,27
Tuesday,17:30,27
Tuesday,17:30,27
Tuesday,17:30,27
Tuesday,17:45,27
Tuesday,17:45,27
Tuesday,17:45,27
Tuesday,18:00,27
Tuesday,18:00,27
Tuesday,18:00,27
Tuesday,18:15,27
Tuesday,18:15,27
Tuesday,18:15,27
Tuesday,18:30,27
Tuesday,18:30,27
Tuesday,18:30,27
Tuesday,18:45,27
Tuesday,18:45,27
Tuesday,18:45,27
Tuesday,19:00,27
Tuesday,19:00,27
Tuesday,19:00,27
Tuesday,19:15,27
Tuesday,19:15,27
Tuesday,19:15,27
Tuesday,19:30,27
Tuesday,19:30,27
Tuesday,19:30,27
Tuesday,19:45,27
Tuesday,19:45,27
Tuesday,19:45,27
Tuesday,20:00,27
Tuesday,20:00,27
Tuesday,20:00,27
Tuesday,20:15,27
Tuesday,20:15,27
Tuesday,20:15,27
Tuesday,20:30,26
Tuesday,20:30,26
Tuesday,20:30,27
Tuesday,20:45,27
Tuesday,20:45,27
Tuesday,20:45,27
Tuesday,21:00,27
Tuesday,21:00,27
Tuesday,21:00,27
Tuesday,21:15,27
Tuesday,21:15,27
Tuesday,21:15,27
Tuesday,21:30,27
Tuesday,21:30,26
Tuesday,21:30,27
Tuesday,21:45,27
Tuesday,21:45,27
Tuesday,21:45,27
Tuesday,22:00,27
Tuesday,22:00,27
Tuesday,22:00,27
Tuesday,22:15,27
Tuesday,22:15,27
Tuesday,22:15,27
Tuesday,22:30,27
Tuesday,22:30,27
Tuesday,22:30,28
Tuesday,22:45,28
Tuesday,22:45,28
Tuesday,22:45,28
Tuesday,23:00,28
Tuesday,23:00,28
Tuesday,23:00,27
Tuesday,23:15,27
Tuesday,23:15,28
Tuesday,23:15,28
Tuesday,23:30,28
Tuesday,23:30,27
Tuesday,23:30,27
Tuesday,23:45,28
Tuesday,23:45,28
Tuesday,23:45,29
Tuesday,00:00,29
Tuesday,00:00,29
Wednesday,00:00,28
Wednesday,00:15,28
Wednesday,00:15,28
Wednesday,00:15,29
Wednesday,00:30,29
Wednesday,00:30,29
Wednesday,00:30,28
Wednesday,00:45,28
Wednesday,00:45,28
Wednesday,00:45,28
Wednesday,01:00,28
Wednesday,01:00,28
Wednesday,01:00,28
Wednesday,01:15,28
Wednesday,01:15,28
Wednesday,01:15,28
Wednesday,01:30,28
Wednesday,01:30,27
Wednesday,01:30,28
Wednesday,01:45,28
Wednesday,01:45,28
Wednesday,01:45,28
Wednesday,02:00,28
Wednesday,02:00,28
Wednesday,02:00,28
Wednesday,02:15,28
Wednesday,02:15,27
Wednesday,02:15,27
Wednesday,02:30,27
Wednesday,02:30,27
Wednesday,02:30,28
Wednesday,02:45,28
Wednesday,02:45,28
Wednesday,02:45,28
Wednesday,03:00,28
Wednesday,03:00,28
Wednesday,03:00,29
Wednesday,03:15,29
Wednesday,03:15,29
Wednesday,03:15,29
Wednesday,03:30,28
Wednesday,03:30,29
Wednesday,03:30,29
Wednesday,03:45,29
Wednesday,03:45,29
Wednesday,03:45,32
Wednesday,04:00,32
Wednesday,04:00,33
Wednesday,04:00,35
Wednesday,04:15,35
Wednesday,04:15,37
Wednesday,04:15,39
Wednesday,04:30,38
Wednesday,04:30,42
Wednesday,04:30,41
Wednesday,04:45,47
Wednesday,04:45,52
Wednesday,04:45,51
Wednesday,05:00,53
Wednesday,05:00,50
Wednesday,05:00,51
Wednesday,05:15,44
Wednesday,05:15,44
Wednesday,05:15,37
Wednesday,05:30,39
Wednesday,05:30,39
Wednesday,05:30,42
Wednesday,05:45,43
Wednesday,05:45,44
Wednesday,05:45,47
Wednesday,06:00,45
Wednesday,06:00,46
Wednesday,06:00,54
Wednesday,06:15,54
Wednesday,06:15,44
Wednesday,06:15,36
Wednesday,06:30,37
Wednesday,06:30,37
Wednesday,06:30,36
Wednesday,06:45,37
Wednesday,06:45,38
Wednesday,06:45,38
Wednesday,07:00,38
Wednesday,07:00,36
Wednesday,07:00,34
Wednesday,07:15,33
Wednesday,07:15,32
Wednesday,07:15,32
Wednesday,07:30,32
Wednesday,07:30,32
Wednesday,07:30,30
Wednesday,07:45,30
Wednesday,07:45,29
Wednesday,07:45,29
Wednesday,08:00,29
Wednesday,08:00,29
Wednesday,08:00,28
Wednesday,08:15,29
Wednesday,08:15,29
Wednesday,08:15,29
Wednesday,08:30,29
Wednesday,08:30,29
Wednesday,08:30,28
Wednesday,08:45,28
Wednesday,08:45,28
Wednesday,08:45,28
Wednesday,09:00,28
Wednesday,09:00,29
Wednesday,09:00,29
Wednesday,09:15,29
Wednesday,09:15,28
Wednesday,09:15,28
Wednesday,09:30,28
Wednesday,09:30,29
Wednesday,09:30,28
Wednesday,09:45,28
Wednesday,09:45,28
Wednesday,09:45,28
